entity_id,entity_name,site_id,site_name,latitude,longitude,distance_NGRIP,number,mean_off18O,std_off18O,mean_off18O_20,std_off18O_20,number20,mean_off18O_40,std_off18O_40,number40,mean_off18O_60,std_off18O_60,number60,mean_off18O_80,std_off18O_80,number80,mean_off13C,std_off13C,mean_var18_stad,mean_var18_interstad,abruptness50,abruptness100,continent,new_region
83,SC02,20,Secret cave,4.0848,114.8503,11080.062052415791,74878,0.5700000000000003,0.5700000000000003,0.1966666666666672,,1,0.3840000000000003,0.2164152387322937,5,0.5516666666666667,0.1037223858833436,3,0.3633333333333315,,1,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
83,SC02,20,Secret cave,4.0848,114.8503,11080.062052415791,92440,0.3633333333333315,0.3633333333333315,0.1966666666666672,,1,0.3840000000000003,0.2164152387322937,5,0.5516666666666667,0.1037223858833436,3,0.3633333333333315,,1,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,32032,0.629999999999999,0.629999999999999,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,33621,0.1800000000000015,0.1800000000000015,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,34669,0.1400000000000005,0.1400000000000005,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,39272,0.3766666666666678,0.3766666666666678,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,41826,0.3466666666666658,0.3466666666666658,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,44613,0.1500000000000003,0.1500000000000003,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,46215,0.336666666666666,0.336666666666666,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,48150,0.5199999999999996,0.5199999999999996,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,54134,0.2800000000000011,0.2800000000000011,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,57186,0.4299999999999997,0.4299999999999997,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,59230,0.2399999999999993,0.2399999999999993,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,67274,0.0999999999999978,0.0999999999999978,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,71299,0.8399999999999999,0.8399999999999999,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,75595,0.7300000000000004,0.7300000000000004,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,83347,0.1849999999999987,0.1849999999999987,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
84,SC03,20,Secret cave,4.0848,114.8503,11080.062052415791,93707,0.1720000000000006,0.1720000000000006,0.3316666666666672,0.2241775090314708,4,0.3290476190476188,0.1220763920774423,7,0.5566666666666661,0.3992910383834507,3,0.1784999999999996,0.0091923881554237,2,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0
115,D4_2004,39,Dongge cave,25.2833,108.0833,8655.894974827843,42612,1.3499999999999996,1.3499999999999996,0.0,0.0,0,,,3,0.0,0.0,0,0.965,,1,,,1.0,1.0,0.0,0.0,5.0,5.0
115,D4_2004,39,Dongge cave,25.2833,108.0833,8655.894974827843,54175,,,0.0,0.0,0,,,3,0.0,0.0,0,0.965,,1,,,1.0,1.0,0.0,0.0,5.0,5.0
115,D4_2004,39,Dongge cave,25.2833,108.0833,8655.894974827843,57314,0.5,0.5,0.0,0.0,0,,,3,0.0,0.0,0,0.965,,1,,,1.0,1.0,0.0,0.0,5.0,5.0
115,D4_2004,39,Dongge cave,25.2833,108.0833,8655.894974827843,114148,0.965,0.965,0.0,0.0,0,,,3,0.0,0.0,0,0.965,,1,,,1.0,1.0,0.0,0.0,5.0,5.0
124,LC-1,48,Leviathan cave,37.89,-115.58,5483.187976020652,34062,-0.5189852144199971,-0.5189852144199971,-0.5780068454266664,0.0555335030256984,3,-0.4710335260771425,0.2254788909957326,7,-0.4353633912399992,0.1782596631706554,2,-0.575599390449999,0.2499916940032351,2,-0.4289336683776286,0.6695982408198146,1.0,1.0,0.0,0.0,2.0,2.0
